ObjectID,GlobalID,What type of litter bin?,What is it's condition?,ParentGlobalID,CreationDate,Creator,EditDate,Editor,x,y
50,4d622d5a-5db7-4d9a-ad95-351833844609,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7212774828875,38.2386524789391
51,6395c473-690a-4367-9348-e5652dc891b6,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7242088020646,38.2404567674159
52,a3786be9-183e-4791-a44a-80c675320ec3,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.724571989929,38.2407022314502
53,e4588dce-e1a8-4aef-ba41-9bda2bf7df33,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7250281330996,38.241187795101
54,854a952a-92b3-41cc-b111-17588854c630,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7252608985507,38.2416000170989
55,7d1deacd-5749-463f-b468-8e31523f0800,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7257186342829,38.2421834813787
56,417c0711-fe5f-4322-ab08-bf008c19e8c8,iron,not_useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7272872236424,38.2438933896257
57,3b567a4e-6382-4d0a-b144-4e8f03aa6219,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7266916894221,38.2431861665456
58,950bf384-f587-411c-a06b-4f8f00cd5cfa,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7257996034676,38.2421405241249
59,bebf70f8-3d1e-4f29-ab07-4cf47b408882,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7253811788612,38.2415908808245
60,fa487717-7c7d-478d-afa8-7816f8ea8c14,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7248302363658,38.2407648023574
61,eabdee4e-2689-478a-98f2-8d1767d53476,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.724519016301,38.2403215673177
